,Country,Activity,Fatal (Y/N),Time,Species ,Activity_merged,Species_merged,Time_merged
0,USA,Paddling,N,18h00,White shark,Surfing,White shark,Afternoon
1,USA,Standing,N,14h00  -15h00,UNKNOWN,Unknown,Unknown,Noon
2,USA,Surfing,N,07h45,UNKNOWN,Surfing,Unknown,Sunrise
3,AUSTRALIA,Surfing,N,UNKNOWN,2 m shark,Surfing,Unknown,Unknown
4,MEXICO,Free diving,N,UNKNOWN,"Tiger shark, 3m",Diving,Tiger shark,Unknown
5,AUSTRALIA,Kite surfing,N,UNKNOWN,UNKNOWN,Surfing,Unknown,Unknown
6,BRAZIL,Swimming,Y,Late afternoon,Tiger shark,Swimming,Tiger shark,Afternoon
7,USA,Fishing,N,UNKNOWN,"Lemon shark, 3'",Fishing,Unknown,Unknown
8,USA,Walking,N,17h00,"Bull shark, 6'",Unknown,Bull shark,Afternoon
9,USA,Standing,N,14h00,UNKNOWN,Unknown,Unknown,Noon
10,AUSTRALIA,Feeding sharks,N,Morning,Grey reef shark,Unknown,Unknown,Morning
11,USA,Boogie boarding,N,UNKNOWN,UNKNOWN,Surfing,Unknown,Unknown
12,USA,Swimming,N,15h00,UNKNOWN,Swimming,Unknown,Noon
13,ENGLAND,Fishing,N,08h15,Invalid incident,Fishing,Unknown,Morning
14,AUSTRALIA,Feeding sharks,N,UNKNOWN,"Tawny nurse shark, 2m",Unknown,Unknown,Unknown
15,SOUTH AFRICA,Surfing,N,11h00,UNKNOWN,Surfing,Unknown,Morning
16,AUSTRALIA,Surfing,N,10h30,Shark involvement not confirmed,Surfing,Unknown,Morning
17,THAILAND,Swimming,N,UNKNOWN,UNKNOWN,Swimming,Unknown,Unknown
18,COSTA RICA,Scuba diving,N,10h40,Tiger shark,Diving,Tiger shark,Morning
19,AUSTRALIA,Surfing,N,16h50,UNKNOWN,Surfing,Unknown,Afternoon
20,AUSTRALIA,Surfing,N,07h00,Questionable,Surfing,Unknown,Sunrise
21,AUSTRALIA,Surfing,N,09h30,3 m shark,Surfing,Unknown,Morning
22,AUSTRALIA,Surfing,N,Afternoon,"White shark, 3.5 m",Surfing,White shark,Afternoon
23,MALDIVES,Fishing,N,21h50,Tiger shark,Fishing,Tiger shark,Evening
24,SOUTH AFRICA,Paddle-skiing,N,09h40,"White shark, 2.5 m",Surfing,White shark,Morning
25,USA,Body boarding,N,UNKNOWN,6' shark,Surfing,Unknown,Unknown
26,THAILAND,Swimming,N,UNKNOWN,Juvenile bull shark,Swimming,Bull shark,Unknown
27,BRAZIL,Swimming,UNKNOWN,UNKNOWN,UNKNOWN,Swimming,Unknown,Unknown
28,AUSTRALIA,Surfing,N,UNKNOWN,UNKNOWN,Surfing,Unknown,Unknown
29,AUSTRALIA,Surfing,N,08h00,UNKNOWN,Surfing,Unknown,Morning
30,BAHAMAS,Surfing,N,09h30,Tiger shark,Surfing,Tiger shark,Morning
31,BRAZIL,Fishing,N,UNKNOWN,Shark involvement not confirmed,Fishing,Unknown,Unknown
32,NEW CALEDONIA,Windsurfing,N,17h00,2 m shark,Surfing,Unknown,Afternoon
33,BAHAMAS,Swimming,N,18h00,Bull shark,Swimming,Bull shark,Afternoon
34,SOUTH AFRICA,Surfing,N,15h00,White shark,Surfing,White shark,Noon
35,USA,Stand-Up Paddleboarding,N,09h30,"Tiger shark, 12'",Surfing,Tiger shark,Morning
36,AUSTRALIA,Wading,N,17h35,Wobbegong shark,Swimming,Unknown,Afternoon
37,AUSTRALIA,Swimming,N,15h30,3.5 m shark,Swimming,Unknown,Noon
38,AUSTRALIA,Surfing,N,07h30,1.8 m shark,Surfing,Unknown,Sunrise
39,SOUTH AFRICA,Scuba Diving,N,UNKNOWN,Blacktip shark,Unknown,Whitetip shark,Unknown
40,AUSTRALIA,Swimming,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",Swimming,White shark,Afternoon
41,AUSTRALIA,Kayak fishing for sharks,N,Night,UNKNOWN,Fishing,Unknown,Night
42,AUSTRALIA,Walking,N,16h00,"Bull shark, 2 m",Unknown,Bull shark,Afternoon
43,AUSTRALIA,Swimming,N,18h00,Possibly a wobbegong,Swimming,Unknown,Afternoon
44,BRAZIL,Cleaning fish,N,UNKNOWN,"Injury believed caused by an eel, not a shark",Fishing,Unknown,Unknown
45,ECUADOR,Snorkeling,N,UNKNOWN,Galapagos shark?,Unknown,Unknown,Unknown
46,AUSTRALIA,Spearfishing,N,UNKNOWN,2m shark,Fishing,Unknown,Unknown
47,AUSTRALIA,UNKNOWN,N,08h00,Bull shark,Unknown,Bull shark,Morning
48,NEW CALEDONIA,Spearfishing,N,15h30,"Bull shark, 3 m ",Fishing,Bull shark,Noon
49,AUSTRALIA,Diving,N,15h01,Grey reef shark. 2 m,Unknown,Unknown,Noon
50,AUSTRALIA,Free diving,N,UNKNOWN,"White shark, 3.5 m",Diving,White shark,Unknown
51,BRAZIL,Surfing,N,Late afternoon,small shark,Surfing,Unknown,Afternoon
52,AUSTRALIA,Surfing,N,UNKNOWN,Wobbegong shark?,Surfing,Unknown,Unknown
53,USA,Surfing,N,18h00,Tiger shark,Surfing,Tiger shark,Afternoon
54,USA,Surfing,N,12h00,UNKNOWN,Surfing,Unknown,Noon
55,MALAYSIA,Fishing / Wading,N,UNKNOWN,Juvenile nurse shark,Swimming,Unknown,Unknown
56,BAHAMAS,Snorkeling,N,UNKNOWN,Nurse shark. 5',Unknown,Unknown,Unknown
57,COSTA RICA,Scuba Diving,N,UNKNOWN,"Tiger shark, female",Unknown,Tiger shark,Unknown
58,COSTA RICA,Scuba diving,Y,UNKNOWN,"Tiger shark, female",Diving,Tiger shark,Unknown
59,LIBYA,2 boats capsized,Y,UNKNOWN,Some drowned but other may have been killed by blue sharks,Unknown,Unknown,Unknown
60,USA,Spearfishing,N,13h45,"White shark, 4.6 m",Fishing,White shark,Noon
61,USA,Surfing,N,Late afternoon,UNKNOWN,Surfing,Unknown,Afternoon
62,UNKNOWN,Surfing,N,UNKNOWN,UNKNOWN,Surfing,Unknown,Unknown
63,AUSTRALIA,Surfing,N,16h00,2 m shark,Surfing,Unknown,Afternoon
64,CUBA,Night bathing,Y,23h30,Tiger shark,Swimming,Tiger shark,Evening
65,AUSTRALIA,Snorkeling,N,UNKNOWN,Cookiecutter shark,Unknown,Unknown,Unknown
66,AUSTRALIA,Surfing,N,09h00,"Wobbegong shark, 1 m",Surfing,Unknown,Morning
67,USA,Stand-Up Paddleboarding,N,15h00,UNKNOWN,Surfing,Unknown,Noon
68,MAURITIUS,Swimming,N,Afternoon,UNKNOWN,Swimming,Unknown,Afternoon
69,USA,Surfing ,N,17h00,UNKNOWN,Surfing,Unknown,Afternoon
70,USA,Swimming,N,08h00,UNKNOWN,Swimming,Unknown,Morning
71,AUSTRALIA,Kayaking / Fishing,N,Afternoon,"White shark, 4.5 m",Fishing,White shark,Afternoon
72,NEW ZEALAND,Kayaking,N,09h00,2 m shark,Boating,Unknown,Morning
73,USA,Swimming,N,14h30,"Spinner shark, 4 to 5 feet",Swimming,Unknown,Noon
74,USA,Surfing,N,18h30,"Tiger shark, 8 to 10 feet",Surfing,Tiger shark,Afternoon
75,USA,Snorkeling,N,12h30,8' shark,Unknown,Unknown,Noon
76,SOUTH AFRICA,Scuba Diving,UNKNOWN,UNKNOWN,Death may have been due to drowning,Unknown,Unknown,Unknown
77,USA,Surfing,N,Morning,5' shark,Surfing,Unknown,Morning
78,AUSTRALIA,Surfing,N,18h00,"White shark, 3.5 m",Surfing,White shark,Afternoon
79,USA,Surfing,UNKNOWN,15h30,Questionable,Surfing,Unknown,Noon
80,USA,Surfing,N,14h00,4' to 5' shark,Surfing,Unknown,Noon
81,USA,Surfing,N,Morning,UNKNOWN,Surfing,Unknown,Morning
82,SPAIN,Body surfing,N,UNKNOWN,"Porbeagle, 1.5 m",Surfing,Unknown,Unknown
83,USA,Surfing,N,16h30,UNKNOWN,Surfing,Unknown,Afternoon
84,SOUTH AFRICA,Scuba Diving,UNKNOWN,Afternoon,UNKNOWN,Unknown,Unknown,Afternoon
85,SAMOA,Fishing,N,Night,UNKNOWN,Fishing,Unknown,Night
86,AUSTRALIA,Fishing,N,UNKNOWN,"White shark, 3.5m",Fishing,White shark,Unknown
87,USA,Surfing,N,18h45,5' to 6' shark,Surfing,Unknown,Afternoon
88,AUSTRALIA,Swimming,N,15h00,UNKNOWN,Swimming,Unknown,Noon
89,AUSTRALIA,Surfing,N,06h00,"White shark, 3 to 3.5m ",Surfing,White shark,Sunrise
90,SOLOMON ISLANDS,Spearfishing,N,UNKNOWN,UNKNOWN,Fishing,Unknown,Unknown
91,SOUTH AFRICA,"Swimming, poaching abalone",Y,Morning,UNKNOWN,Swimming,Unknown,Morning
92,JAPAN,Surfing,N,10h00,UNKNOWN,Surfing,Unknown,Morning
93,USA,Swimming,N,UNKNOWN,Nurse shark,Swimming,Unknown,Unknown
94,USA,Swimming,N,UNKNOWN,UNKNOWN,Swimming,Unknown,Unknown
95,USA,Surfing,N,10h44,UNKNOWN,Surfing,Unknown,Morning
96,AUSTRALIA,Surfing,N,10h30,"White shark, 3 m",Surfing,White shark,Morning
97,USA,Wading,N,13h19,UNKNOWN,Swimming,Unknown,Noon
98,SPAIN,Swimming,UNKNOWN,Midday,Shark involvement questionable,Swimming,Unknown,Noon
99,NEW ZEALAND,Canoeing,N,UNKNOWN,UNKNOWN,Unknown,Unknown,Unknown
100,USA,SUP,N,10h00,"White shark, 5' to 7'",Unknown,White shark,Morning
101,BAHAMAS,Spearfishing,N,15h00,5' shark,Fishing,Unknown,Noon
102,USA,Swimming,N,13h30,Possibly a juvenile blacktip shark,Swimming,Whitetip shark,Noon
103,EGYPT,Snorkeling,N,UNKNOWN,"Oceanic whitetip shark, 1.8 to 2 m",Unknown,White shark,Unknown
104,USA,Fishing,N,23h30,4' shark,Fishing,Unknown,Evening
105,USA,Kayaking / Fishing,N,10h45,"White shark, 10'",Fishing,White shark,Morning
106,USA,Skimboarding,N,18h30,UNKNOWN,Surfing,Unknown,Afternoon
107,USA,Swimming,UNKNOWN,15h00,A small shark,Swimming,Unknown,Noon
108,USA,UNKNOWN,N,Afternoon,UNKNOWN,Unknown,Unknown,Afternoon
109,BAHAMAS,Snorkeling,N,UNKNOWN,UNKNOWN,Unknown,Unknown,Unknown
110,BAHAMAS,Spearfishing,N,UNKNOWN,UNKNOWN,Fishing,Unknown,Unknown
111,"ST HELENA, British overseas territory",Surfing,N,17h00,UNKNOWN,Surfing,Unknown,Afternoon
112,USA,UNKNOWN,N,UNKNOWN,Sandtiger shark  2',Unknown,Tiger shark,Unknown
113,SPAIN,Swimming,N,Afternoon,Blue shark 6',Swimming,Unknown,Afternoon
114,USA,UNKNOWN,N,12h30,"""A small shark""",Unknown,Unknown,Noon
115,USA,Swimming,UNKNOWN,UNKNOWN,Shark involvement not confirmed,Swimming,Unknown,Unknown
116,USA,Kayaking,N,11h20,"White shark, 11' to 13'",Boating,White shark,Morning
117,USA,SUP,N,07h45,"White shark, 8' to 10'",Unknown,White shark,Sunrise
118,USA,Surfing,N,18h30,"White shark, 9'",Surfing,White shark,Afternoon
119,AUSTRALIA,Surfing,N,11h45,UNKNOWN,Surfing,Unknown,Morning
120,USA,Kayaking,N,11h00,White shark,Boating,White shark,Morning
121,USA,Swimming,N,15h30,"Bull shark, 4' to 5'",Swimming,Bull shark,Noon
122,MEXICO,Fishing,N,UNKNOWN,"Tiger shark, 100 kg",Fishing,Tiger shark,Unknown
123,SOUTH AFRICA,Surfing,N,15h00,"White shark, 2.5 m",Surfing,White shark,Noon
124,COMOROS,Fishing,UNKNOWN,UNKNOWN,Shark involvement prior to death not confirmed,Fishing,Unknown,Unknown
125,USA,Fishing,UNKNOWN,19h30,No shark invovlement ,Fishing,Unknown,Afternoon
126,USA,Swimming,N,UNKNOWN,UNKNOWN,Swimming,Unknown,Unknown
127,USA,Surfing,N,Morning,UNKNOWN,Surfing,Unknown,Morning
128,USA,Swimming,N,UNKNOWN,"Bull shark, 4' to 5'",Swimming,Bull shark,Unknown
129,REUNION ISLAND,Body boarding,N,10h00,"Bull shark, 2m",Surfing,Bull shark,Morning
130,SPAIN,Swimming,N,12h00,UNKNOWN,Swimming,Unknown,Noon
131,FRENCH POLYNESIA,Surfing,N,UNKNOWN,UNKNOWN,Surfing,Unknown,Unknown
132,BAHAMAS,Feeding sharks,N,UNKNOWN,UNKNOWN,Unknown,Unknown,Unknown
133,AUSTRALIA,Body boarding,N,08h30,"White shark, 4 m",Surfing,White shark,Morning
134,AUSTRALIA,Surfing,N,15h45,Seven-gill shark,Surfing,Unknown,Noon
135,USA,Surfing,N,10h00,UNKNOWN,Surfing,Unknown,Morning
136,UNITED KINGDOM,Surfing ,N,UNKNOWN,"3m shark, probably a smooth hound",Surfing,Unknown,Unknown
137,USA,Spearfishing,N,UNKNOWN,8' shark,Fishing,Unknown,Unknown
138,BAHAMAS,Snorkeling,N,Shortly before 12h00,Tiger shark,Unknown,Tiger shark,Noon
139,USA,Touching a shark,N,UNKNOWN,3' shark,Unknown,Unknown,Unknown
140,USA,Feeding sharks,N,Morning,Tiger shark,Unknown,Tiger shark,Morning
141,AUSTRALIA,Fishing ,N,UNKNOWN,UNKNOWN,Fishing,Unknown,Unknown
142,UNITED ARAB EMIRATES,Spearfishing,N,Morning,UNKNOWN,Fishing,Unknown,Morning
143,AUSTRALIA,Attempting to lasso a shark,N,UNKNOWN,9' shark,Unknown,Unknown,Unknown
144,MEXICO,Snorkeling,Y,17h00,UNKNOWN,Unknown,Unknown,Afternoon
145,USA,Surfing,UNKNOWN,14h30,Shark involvement highly doubtful,Surfing,Unknown,Noon
146,USA,Swimming,N,17h34,UNKNOWN,Swimming,Unknown,Afternoon
147,SOUTH AFRICA,Surfing,N,17h10,UNKNOWN,Surfing,Unknown,Afternoon
148,USA,Surfing,N,11h00,UNKNOWN,Surfing,Unknown,Morning
149,REUNION ISLAND,Body boarding,Y,11h15,UNKNOWN,Surfing,Unknown,Morning
150,NEW ZEALAND,Body boarding,N,14h00,UNKNOWN,Surfing,Unknown,Noon
151,USA,Photo shoot,UNKNOWN,UNKNOWN,No shark invovlement - it ws a publicity stunt,Unknown,Unknown,Unknown
152,"ST HELENA, British overseas territory",Snorkeling,N,16h00,UNKNOWN,Unknown,Unknown,Afternoon
153,USA,Swimming,UNKNOWN,08h50,Shark involvement not confirmed,Swimming,Unknown,Morning
154,USA,UNKNOWN,N,Afternoon,UNKNOWN,Unknown,Unknown,Afternoon
155,AUSTRALIA,Surfing,Y,16h00,White shark,Surfing,White shark,Afternoon
156,USA,Surfing,N,09h00,"Tiger shark, 12'",Surfing,Tiger shark,Morning
157,USA,Surfing,N,13h30,UNKNOWN,Surfing,Unknown,Noon
158,USA,Surfing,N,13h45,UNKNOWN,Surfing,Unknown,Noon
159,SOUTH AFRICA,Scuba Diving,UNKNOWN,UNKNOWN,Shark involvement prior to death not confirmed,Unknown,Unknown,Unknown
160,USA,Surfing,N,16h00,UNKNOWN,Surfing,Unknown,Afternoon
161,USA,Paddle boarding,N,17h45,UNKNOWN,Surfing,Unknown,Afternoon
162,USA,Swimming,N,17h00,UNKNOWN,Swimming,Unknown,Afternoon
163,USA,Swimming,N,UNKNOWN,UNKNOWN,Swimming,Unknown,Unknown
164,USA,Swimming,N,13h00,UNKNOWN,Swimming,Unknown,Noon
165,AUSTRALIA,Kakaying,N,Afternoon,UNKNOWN,Boating,Unknown,Afternoon
166,USA,Swimming,N,15h00,"Bull shark, 5' to 7'",Swimming,Bull shark,Noon
167,USA,Surfing,N,10h00,UNKNOWN,Surfing,Unknown,Morning
168,AUSTRALIA,Body boarding,N,18h30,UNKNOWN,Surfing,Unknown,Afternoon
169,USA,Kayaking,N,14h30,White shark,Boating,White shark,Noon
170,PHILIPPINES,Spearfishing,N,UNKNOWN,10' shark,Fishing,Unknown,Unknown
171,BAHAMAS,Washing hands,N,UNKNOWN,Lemon shark,Fishing,Unknown,Unknown
172,AUSTRALIA,Snorkeling,N,Morning,"Bull shark, 1.5",Unknown,Bull shark,Morning
173,AUSTRALIA,Surfing,N,Morning,UNKNOWN,Surfing,Unknown,Morning
174,REUNION ISLAND,Body boarding,Y,09h30,UNKNOWN,Surfing,Unknown,Morning
175,AUSTRALIA,Spearfishing,N,10h20,UNKNOWN,Fishing,Unknown,Morning
176,USA,Swimming,N,13h30,UNKNOWN,Swimming,Unknown,Noon
177,BRAZIL,Grabbing shark for a selfie,N,Afternoon,Lemon shark pup,Unknown,Unknown,Afternoon
178,SOUTH AFRICA,Kayak fishing,N,UNKNOWN,Tiger shark,Fishing,Tiger shark,Unknown
179,USA,Tagging sharks,N,UNKNOWN,"White shark, female, 14'",Unknown,White shark,Unknown
180,BAHAMAS,Scuba Diving,N,UNKNOWN,Caribbean reef shark,Unknown,Unknown,Unknown
181,BRAZIL,Swimming,N,13h20,UNKNOWN,Swimming,Unknown,Noon
182,USA,UNKNOWN,N,14h00,UNKNOWN,Unknown,Unknown,Noon
